x,y1,y2,y3
10,18666,31792,20458
60,204625,4184583,3441292
110,283000,13483458,11193667
160,421459,35528416,32266333
210,708208,80036500,74081583
260,938042,154414167,142956458
310,1304708,252694958,233861125
360,1796541,403006375,370132209
410,2029375,580795333,541706250
460,2610666,819908000,768509541
510,3118833,1119524416,1051899792
560,3530667,1476111000,1388763750
610,4060458,1916896291,1810094292
660,4692959,2444154084,2285069125
710,5481834,3008839834,2842657500
760,6109208,3696854833,3493886041
810,7065042,4484786417,4222210167
860,7806750,5334138209,5055568250
910,8580875,6343561750,5984917750
960,9656708,7439315416,7032874500
1010,10406333,8636263791,8180811750
